district,region,status,regnum,orgname,prevorgname,ogrn,inn,kpp,legaladdress,actualaddress,mailingaddress,headname,phone,fax,email,applicationreq,decisionreq,infoinclusion,basis,actstatus,actrevision,decminenergo,chzone,boundaries,terms,services,annualvolume,amountelectricity,volumecitizens,requisitesorder,requisitesnotification,actloss,decisionloss,baseloss,orderexclude,notificationexclude,comments,revisionorder,orderschanges
Дальневосточный федеральный округ,Амурская область,ACTI,28/11,Общество с ограниченной ответственностью «Энергокомфорт». Единая Амурская сбытовая компания» ,Открытое акционерное общество «Амурские коммунальные системы»,1062801020809,2801110560,280101001,"675000, Амурская область, г. Благовещенск, ул. Амурская, 296","675000, Амурская область, г. Благовещенск, ул. Амурская, 296","675000, Амурская область, г. Благовещенск, ул. Амурская, 296",Куприна Наталия Юрьевна,,,,,,,"п. 36 б), 42 ПП № 530","Приказ Управления государственного регулирования цен и тарифов Амурской области от 20.10.2006 № 82-пр/э (в редакции приказов от 16.10.2009 № 80-пр/э, от 27.11.2009 № 102-пр/э, от 29.08.2014 № 102-пр/э, от 17.12.2014 № 171-пр/э)",,,"(ранее - ОАО ""Амурские коммунальные системы"" - 28/02)","Границы балансовой принадлежности электрических сетей ОАО «Амурские коммунальные системы», к сетям которой присоединены потребители, подлежащие обслуживанию указанным гарантирующим поставщиком в г. Благовещенск подстанцией
КТП 28 ВЛ 10 ПС «Силикатная», Ф",,Купля-продажа,"692,746 млн. кВтч-2010

696,199 млн. кВтч-2011

750,577 млн. кВтч-2012

- 2013 (по ФПД)

","318,3 млн. кВтч-2009
347,4 млн. кВтч-2010
352,292 млн. кВтч-2011
353,548  млн. кВтч-2012
745,0 млн. кВтч-2013
","248,2 млн. кВтч- 2009

270,0
млн. кВтч-2010

280,824 млн. кВтч-2011

282,726 млн. кВтч-2012

282,077 млн. кВтч-2013",Приказ № 280-э от 09.11.2007,от 21.11.2007 № ЕЯ-6663/14,,,,,,изменение границ по п.230 (-часть в 28/15),,
Дальневосточный федеральный округ,Амурская область,ACTI,28/13,Общество с ограниченной ответственностью «СВЕТ» ,,1072807002179,2825009914,282501001,"676572, Амурская область, Селемджинский район, с. Бысса","676571, Амурская область, Селемджинский район, с. Бысса"," 676570, Амурская область, Селемджинский район, село Норск",Константинова Маргарита Ивановна,,,,,,,"п. 36 г), 42 ПП № 530",Приказ Управления государственного регулирования цен и тарифов Амурской области от 16.10.2009 № 80-пр/э ,приказ государственного регулирования цен и тарифов Амурской области от 16.10.2009 № 80 пр/э.,,(ранее - Администрация Норского сельсовета Селемджинского района),"Границы балансовой принадлежности электрических сетей ООО «СВЕТ», к сетям которой присоединены потребители, подлежащие обслуживанию указанным гарантирующим поставщиком в с. Бысса Селемджинского района...",,"Генерация
Передача",-,"0,410млн. кВтч -2008

0,410млн. кВтч – 2009

0,413млн. кВтч-2010

0,410млн. кВтч – 2011

0,403млн. кВтч-2012

0,394 млн. кВтч-2013 (по ФПД)
0,394 млн.кВт.ч. - 2016 г.
0,394 млн. кВт.ч. - 2017 г.","0,410 млн. кВтч – 2008
0,410 млн. кВтч – 2009
0,413 млн. кВтч – 2010
0,410 млн. кВтч – 2011
0,403 млн. кВтч – 2012
0,394 млн. кВтч – 2013  (по ФПД)
0,394 млн.кВт.ч. - 2016 г.
0,394 млн. кВт.ч. - 2017 г.",Приказ № 125-э от 16.04.2008,от 29.04.2008 № НБ-2249/14,,,,,,,,
Дальневосточный федеральный округ,Амурская область,DELD,28/19,Общество с ограниченной ответственностью «ЭнерГиЯ» ),Общество с органиченной ответственностью «Темп»,1112801004832,2801162511,280101001,"675530, Амурская область, г. Благовещенск, с. Полодопитомник, литер «А»","676144, Амурская область, Магдагачинский район, с. Дактуй, ул. Проезжая, д. 3","675002, Амурская область, г. Благовещенск, ул. Горького, 9, офис 311",Гущин Михаил Александрович,,,,,,,"п. 36 г), 42 ПП № 530",Приказ Управления государственного регулирования цен и тарифов Амурской области от 12.08.2011 № 128-пр/э,,,"(ранее - ООО ""Темп"" - 28/17 (ранее - МУП ""ЖКХ с. Дактуй"" Магдагачинского района - 28/08))","Границы балансовой принадлежности электрических сетей ООО «Энергия», к сетям которой присоединены потребители, подлежащие обслуживанию указанным гарантирующим поставщиком в п. Апрельский, с. Пионер Магдагачинского района...",,"Генерация
Передача",-,"0,195 млн. кВтч-2010

0,112 – 2012 (по ФПД)","0,195 млн. кВтч – 2010
0, 152 млн. кВтч – 2012 (по ФПД)",Приказ № 75-э от 14.02.2012,от 16.02.2012 № ЕП-1174/14,,,,,,,,813/16 от 28.06.2016
Дальневосточный федеральный округ,Амурская область,ACTI,28/20,Общество с ограниченной ответственностью «Теплоэнергия»,Общество с ограниченной ответственностью «Энергетические сети» ,1102808001361,2826005790,282601001,"676064, Амурская область, Сковородинский район, с. Джалинда, ул. Школьная, д.38","676064, Амурская область, Сковородинский район, с. Джалинда, ул. Школьная, д.38","676064, Амурская область, Сковородинский район, с. Джалинда, ул. Школьная, д.38",Клеутин Михаил Владимирович,8-914-595-44-36,,,,,,п. 227 ПП № 442,Приказ управления государственного регулирования цен и тарифов Амурской области от 10.08.2013 № 130-пр/э,,," (ранее - часть ООО ""Энергетические сети"" - 28/10 (ранее - МУП ""Сковородинские районные электросети"" - 28/09))","В границах балансовой принадлежности электрических сетей ООО «Теплоэнергия», к сетям которого присоединены потребители, подлежащие обслуживанию данным гарантирующим поставщиком в с. Осежено Сковородинского района...",,"Генерация
Передача",-,"0,106 млн. кВтч – 2012

0,106 млн. кВтч – 2013 (по ФПД)
0,106 млн. кВт.ч. - 2016 г.
0,106 млн. кВт.ч. - 2017 г.","0,106 млн. кВтч – 2012
0,106 млн. кВтч – 2013 (по ФПД)
0,106 млн. кВт.ч. - 2016 г.
0,106 млн кВт.ч. - 2017 г.",Приказ № 1421-э от 18.11.2013,от 22.11.2013 № ЕП-12148/14,,,,,,,,
Дальневосточный федеральный округ,Амурская область,ACTI,28/21,Общество с ограниченной ответственностью «Северо-Западнефтепродукт НВ»,Общество с ограниченной ответственностью «Энергетические сети» ,1042800170610,2826004316,282801001,"676000, Амурская область, Сковородинский район, пгт. Ерофей Павлович, ул. Погадаева, д. 69","676000, Амурская область, Сковородинский район, пгт. Ерофей Павлович, ул. Погадаева, д. 69","676000, Амурская область, Сковородинский район, пгт. Ерофей Павлович, ул. Погадаева, д. 69",Пересыпкин Виктор Федорович,8-924-148-00-80,,,,,,п. 227 ПП № 442,Приказ управления государственного регулирования цен и тарифов Амурской области от 26.04.2013 № 69-пр/э,,," (ранее - часть ООО ""Энергетические сети"" - 28/10 (ранее - МУП ""Сковородинские районные электросети"" - 28/09))","В границах балансовой принадлежности электрических сетей ООО «Северо-Западнефтепродукт НВ», к сетям которого присоединены потребители, подлежащие обслуживанию данным гарантирующим поставщиком в с. Игнашино Сковородинского района...",,"Генерация
Передача",-,"0,759 млн. кВтч – 2012

0,759 млн. кВтч – 2013 (по ФПД)
0,876 млн. кВт.ч. - 2016 г.
0,876 млн. кВт.ч. - 2017 г.","0,759 млн. кВтч – 2012
0,876 млн. кВтч – 2013 (по ФПД)
0,759 млн. кВт.ч. -2016 г.
0,759 млн. кВт.ч. - 2017 г.",Приказ № 1421-э от 18.11.2013,от 22.11.2013 № ЕП-12147/14,,,,,,,,
Дальневосточный федеральный округ,Амурская область,DELD,28/22,Муниципальное унитарное предприятие «Снежногорскэнерго»,Общество с ограниченной ответственностью «Сервис Транспорт» ,1122815000747,2815015027,281501001,"676224, Амурская область, Зейский район, п. Снежногорский, ул. Ленина, д.2","676224, Амурская область, Зейский район, п. Снежногорский, ул. Ленина, д.2","676224, Амурская область, Зейский район, п. Снежногорский, ул. Ленина, д.2",Кулик Светлана Николаевна,(41658) 54-1-28 89098134446,,,,,,п. 227 ПП № 442,Приказ управления государственного регулирования цен и тарифов Амурской области от 8.05.2013 № 74-пр/э,,,"(ранее - ООО ""Сервис Транспорт"" - 28/16 (ранее - МУП ЖКХ Зейского района ""Надежда"" - 28/07))","В границах балансовой принадлежности электрических сетей МУП «Снежногорскэнерго», к сетям которого присоединены потребители, подлежащие обслуживанию данным гарантирующим поставщиком в п. Снежногорский Зейского района...",,"Генерация
Передача",-,"0,835 млн. кВтч – 2012

0,825 млн. кВтч – 2013 (по ФПД)
1,025 млн. кВт.ч. - 2016 г.","1,039 млн. кВтч – 2012
1,020 млн. кВтч – 2013 (по ФПД)
0,826 млн. кВт.ч. - 2016 г.",Приказ № 1421-э от 18.11.2013,от 22.11.2013 № ЕП-12149/14,,,,,,,,
Дальневосточный федеральный округ,Амурская область,ACTI,28/23,"ООО ""ЖКХ-Ресурс""",,1112801005096,2801162751,280101001,"675000,Амурская обл., г. Благовещенск, ул. Зейская д. 301.","675000,Амурская обл., г. Благовещенск, ул. Зейская д. 301.","675000,Амурская обл., г. Благовещенск, ул. Зейская д. 301.",Сазанов Алексей Николаевич,4162-770-441,,,,,,,Приказа Управления государственного регулирования цен и тарифов Амурской области от 13.05.2016 № 50-пр/э,,,,"Границы балансовой принадлежности электрических сетей ООО ""ЖКХ Ресурс"", к сетям которого присоединены потребители, подлежащие обслуживанию в п. Апрельский Магдагачинского района Амурской области...",,,,"0,131 млн. кВт.ч. - 2016 г.
0,131 млн. кВт.ч. - 2017 г.
","0,131 млн. кВт.ч. - 2016 г.
0,131 млн. кВт.ч. - 2017 г.",Приказ № 813/16 от 28.06.2016,,,,,,,,,
Дальневосточный федеральный округ,Амурская область,ACTI,28/24,"ООО ""Энергия 5""",,1052800312290,2815006216,281501001,"676246, Амурская область, город Зея, Магистральная улица, дом 15",,,Дедышев Валерий Борисович,(41658)2-46-15,,,,,,,приказ Управлени государственноо регулировани цен и тарифов Амурской области от 21.04.2017 №31-пр/э,,,,"границы балансовой принадлежности электрических сетей  ООО «Энергия 5», к сетям которого присоединены потребители, подлежащие обслуживанию указанным гарантирующим поставщиком в п.Снежногорский Зейского района Амурской области...",,Купля-продажа,,"0,720 млн. кВт.ч. - 2017 г.","0,687 млн. кВт.ч. - 2017 г.",Приказ № 690/17 от 25.05.2017,,,,,,,,,
Дальневосточный федеральный округ,Амурская область,DELD,28/18,Акционерное общество «Оборонэнергосбыт»,,1097746448315,7704731218,602745001,,,,Дрегваль Сергей Георгиевич,(3902) 22-55-29,,info19@sibir.oes.su,,,,п. 36 д) ПП № 530,приказ Управления государственного регулирования цен и тарифов Амурской области от 08.07.2011 № 112/1-пр/э приказ Управления государственного регулирования цен и тарифов Амурской области от 2.05.2011 № 124-пр/э,,,,"Границы балансовой принадлежности электрических сетей, принадлежащих на праве собственности или на ином законном основании организациям (сетевые организации, хозяйствующие субъекты), находящимся в ведении Минобороны и (или) образованным во исполнение Указ",,Купля-продажа,-,"0,68 млн. кВтч – 2011

0,55 - млн. кВтч. – 2012

0,322 млн. кВтч. – 2013","85,76 млн. кВтч – 2011
54,549 млн. кВтч. – 2012
50,521 млн. кВтч. – 2013",Приказ № 774-э от 02.12.2011,от 06.12.2011 № ЕП-9867/14,,,,Приказ № 555-э от 30.03.2015,,исключение по п.229 с 1.01.2015 (-в 28/15),555-э от 30.03.2015,1399 от 23.12.2016
Дальневосточный федеральный округ,Амурская область,DELD,28/01,Открытое акционерное общество «Амурэнерго»,,,,,"675000, Амурская обл., г. Благовещенск, ул. Шевченко","675000, Амурская обл., г. Благовещенск, ул. Шевченко","675000, Амурская обл., г. Благовещенск, ул. Шевченко",Андреенко Юрий Андреевич,,,,,,,, Приказ Управления государственного регулирования цен и тарифов Амурской области от 20.10.2006 г. № 82-пр/э,,,,"



Административные границы
Амурской области, за исключением зон, определенных для гарантирующих
поставщиков, получивших статус
гарантирующего поставщика
в соответствии с подпунктами «б», «в», «г» пункта 36 Правил
...",,"Купля-продажа
Передача",-,,-,,,,,,Приказ № 7-э от 17.01.2007,от 13.07.2007 № НБ-4052/14,,,
Дальневосточный федеральный округ,Амурская область,DELD,28/07,Муниципальное унитарное предприятие ЖКХ Зейского района «Надежда»,,,,,"676246, Амурская область, г. Зея, ул. Магистральная, 53",,,Долженко Юрий Анатольевич,,,,,,,,Приказ Управления государственного регулирования цен и тарифов Амурской области от 20.10.2006 № 82-пр/э,,,,"
Границы балансовой принадлежности электрических сетей МУП ЖКХ Зейского района «Надежда», к сетям которой присоединены потребители, подлежащие обслуживанию указанным гарантирующим поставщиком в п. Снежногорский Зейского района...",,,,,,,,,,,Приказ № 7-э от 17.01.2007,от 31.12.2009 № ЕП-9642/14,,,
